fixture_id,source_listing,camera,dimensions,no_products,geometry_reference,empty_inner_reference,visual_match_assessment,notes
fixture_033,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_034,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_035,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_036,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_037,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_038,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_039,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_040,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_041,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_042,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_043,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_044,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
fixture_045,confirmed_in_printed_guide_DATA2,pass_90deg_overhead_2D,pass_48px_per_guide_grid,pass,guide_icon_and_gameplay_device_examples,not_available_blank_shelf_not_shown_in_source,best_effort_reconstruction_not_pixel_equal,商品を隠した内部構造は仮設計。確認していない原画完全一致を保証しない。
